id,Fecha,Temporada,Jornada,Equipo1,Equipo2,Goles1,Goles2
1,8/9/1979,1979-1980,1,Betis,Rayo Vallecano,1,2
2,8/9/1979,1979-1980,1,Español,AD Almería,5,2
3,8/9/1979,1979-1980,1,Sporting de Gijón,Sevilla,2,1
4,8/9/1979,1979-1980,1,Real Sociedad,Las Palmas,1,0
5,9/9/1979,1979-1980,1,Burgos,CD Málaga,1,0
6,9/9/1979,1979-1980,1,Hércules,Atlético de Madrid,2,3
7,9/9/1979,1979-1980,1,Real Madrid,Valencia,3,1
8,9/9/1979,1979-1980,1,Salamanca,Athletic Club,2,1
9,9/9/1979,1979-1980,1,Zaragoza,Barcelona,2,2
10,15/09/1979,1979-1980,2,Athletic Club,Real Sociedad,0,1
11,15/09/1979,1979-1980,2,Atlético de Madrid,Sporting de Gijón,1,3
12,15/09/1979,1979-1980,2,Barcelona,Betis,5,0
13,15/09/1979,1979-1980,2,Las Palmas,Hércules,2,1
14,15/09/1979,1979-1980,2,CD Málaga,Español,1,2
15,15/09/1979,1979-1980,2,Valencia,Salamanca,2,2
16,16/09/1979,1979-1980,2,AD Almería,Zaragoza,1,0
17,16/09/1979,1979-1980,2,Rayo Vallecano,Real Madrid,1,2
18,16/09/1979,1979-1980,2,Sevilla,Burgos,6,1
19,22/09/1979,1979-1980,3,Español,Zaragoza,2,0
20,23/09/1979,1979-1980,3,Betis,AD Almería,0,0
21,23/09/1979,1979-1980,3,Burgos,Atlético de Madrid,1,1
22,23/09/1979,1979-1980,3,Sporting de Gijón,Las Palmas,4,1
23,23/09/1979,1979-1980,3,Hércules,Athletic Club,2,1
24,23/09/1979,1979-1980,3,CD Málaga,Sevilla,2,1
25,23/09/1979,1979-1980,3,Real Sociedad,Valencia,0,0
26,23/09/1979,1979-1980,3,Real Madrid,Barcelona,3,2
27,23/09/1979,1979-1980,3,Salamanca,Rayo Vallecano,3,0
28,29/09/1979,1979-1980,4,Atlético de Madrid,CD Málaga,0,0
29,29/09/1979,1979-1980,4,Las Palmas,Burgos,2,1
